source	target	interactiontype
ENSMUSG00000022479	ENSMUSG00000061455	TF-TG
ENSMUSG00000022479	ENSMUSG00000062210	TF-TG
ENSMUSG00000022479	ENSMUSG00000062995	TF-TG
ENSMUSG00000022479	ENSMUSG00000066324	TF-TG
ENSMUSG00000022479	ENSMUSG00000072115	TF-TG
ENSMUSG00000022479	ENSMUSG00000075701	TF-TG
ENSMUSG00000022479	ENSMUSG00000075702	TF-TG
ENSMUSG00000022479	ENSMUSG00000094651	TF-TG
ENSMUSG00000022528	ENSMUSG00000003032	TF-TG
ENSMUSG00000022528	ENSMUSG00000022136	TF-TG
ENSMUSG00000022528	ENSMUSG00000024743	TF-TG
ENSMUSG00000022528	ENSMUSG00000026879	TF-TG
ENSMUSG00000022528	ENSMUSG00000034472	TF-TG
ENSMUSG00000022528	ENSMUSG00000037579	TF-TG
ENSMUSG00000022528	ENSMUSG00000039234	TF-TG
ENSMUSG00000022528	ENSMUSG00000056602	TF-TG
ENSMUSG00000024215	ENSMUSG00000020581	TF-TG
ENSMUSG00000024431	ENSMUSG00000001025	TF-TG
ENSMUSG00000024431	ENSMUSG00000002565	TF-TG
ENSMUSG00000024431	ENSMUSG00000002885	TF-TG
ENSMUSG00000024431	ENSMUSG00000003032	TF-TG
ENSMUSG00000024431	ENSMUSG00000003355	TF-TG
ENSMUSG00000024431	ENSMUSG00000004952	TF-TG
ENSMUSG00000024431	ENSMUSG00000010830	TF-TG
ENSMUSG00000024431	ENSMUSG00000013523	TF-TG
ENSMUSG00000024431	ENSMUSG00000013846	TF-TG
ENSMUSG00000024431	ENSMUSG00000019066	TF-TG
ENSMUSG00000024431	ENSMUSG00000019122	TF-TG
ENSMUSG00000024431	ENSMUSG00000019188	TF-TG
ENSMUSG00000024431	ENSMUSG00000020151	TF-TG
ENSMUSG00000024431	ENSMUSG00000020571	TF-TG
ENSMUSG00000024431	ENSMUSG00000020577	TF-TG
ENSMUSG00000024431	ENSMUSG00000020581	TF-TG
ENSMUSG00000024431	ENSMUSG00000022136	TF-TG
ENSMUSG00000024431	ENSMUSG00000022686	TF-TG
ENSMUSG00000024431	ENSMUSG00000022696	TF-TG
ENSMUSG00000024431	ENSMUSG00000022769	TF-TG
ENSMUSG00000024431	ENSMUSG00000022844	TF-TG
ENSMUSG00000024431	ENSMUSG00000023092	TF-TG
ENSMUSG00000024431	ENSMUSG00000023247	TF-TG
ENSMUSG00000024431	ENSMUSG00000023272	TF-TG
ENSMUSG00000024431	ENSMUSG00000023393	TF-TG
ENSMUSG00000024431	ENSMUSG00000024029	TF-TG
ENSMUSG00000024431	ENSMUSG00000024215	TF-TG
ENSMUSG00000024431	ENSMUSG00000024511	TF-TG
ENSMUSG00000024431	ENSMUSG00000024743	TF-TG
ENSMUSG00000024431	ENSMUSG00000024807	TF-TG
ENSMUSG00000024431	ENSMUSG00000024858	TF-TG
ENSMUSG00000024431	ENSMUSG00000025515	TF-TG
ENSMUSG00000024431	ENSMUSG00000026303	TF-TG
ENSMUSG00000024431	ENSMUSG00000026380	TF-TG
ENSMUSG00000024431	ENSMUSG00000026828	TF-TG
ENSMUSG00000024431	ENSMUSG00000026864	TF-TG
ENSMUSG00000024431	ENSMUSG00000026879	TF-TG
ENSMUSG00000024431	ENSMUSG00000026961	TF-TG
ENSMUSG00000024431	ENSMUSG00000027006	TF-TG
ENSMUSG00000024431	ENSMUSG00000027230	TF-TG
ENSMUSG00000024431	ENSMUSG00000027513	TF-TG
ENSMUSG00000024431	ENSMUSG00000027514	TF-TG
ENSMUSG00000024431	ENSMUSG00000027938	TF-TG
ENSMUSG00000024431	ENSMUSG00000028255	TF-TG
ENSMUSG00000024431	ENSMUSG00000028415	TF-TG
ENSMUSG00000024431	ENSMUSG00000028555	TF-TG
ENSMUSG00000024431	ENSMUSG00000028699	TF-TG
