miRNA	logFC	logCPM	PValue	FDR
mmu-miR-18a-3p	-0.32806276	4.96830871	3.34E-01	8.99E-01
mmu-miR-7650-5p	1.437633011	-0.33460354	3.41E-01	9.14E-01
mmu-miR-28c	-0.288902079	8.06672801	3.43E-01	9.14E-01
mmu-miR-3572-3p	-3.342230599	-0.58877495	3.44E-01	9.14E-01
mmu-miR-28a-5p	-0.288903291	8.06672801	3.44E-01	9.14E-01
mmu-miR-3098-3p	0.69242079	0.73387504	3.49E-01	9.19E-01
mmu-miR-30e-3p	-0.271726453	8.28614805	3.49E-01	9.19E-01
mmu-miR-142a-5p	-0.618210422	3.18628773	3.52E-01	9.24E-01
mmu-miR-185-3p	-0.42990217	2.18304811	3.56E-01	9.29E-01
mmu-miR-1936	0.756553232	0.40746143	3.57E-01	9.29E-01
mmu-miR-30c-2-3p	0.321852107	5.87557723	3.65E-01	9.46E-01
mmu-miR-362-5p	-0.513661265	2.06982281	3.78E-01	9.76E-01
mmu-miR-877-5p	-0.586487764	2.58068104	3.79E-01	9.76E-01
mmu-miR-196a-5p	-0.809697153	0.54418577	3.82E-01	9.79E-01
mmu-miR-1199-5p	1.219966691	0.46116646	3.85E-01	9.84E-01
mmu-miR-96-5p	0.338066929	6.21262467	3.93E-01	9.99E-01
mmu-miR-3057-5p	0.313518813	3.62314006	3.94E-01	9.99E-01
mmu-miR-296-3p	0.993769982	0.21269199	3.96E-01	1.00E+00
mmu-miR-16-5p	-0.267651015	11.83569494	4.02E-01	1.00E+00
mmu-miR-365-3p	-0.399976253	3.69020191	4.03E-01	1.00E+00
mmu-miR-3068-5p	0.797012052	0.42561623	4.05E-01	1.00E+00
mmu-miR-7046-3p	-1.054157367	0.5813919	4.05E-01	1.00E+00
mmu-miR-224-5p	0.245791756	6.97588192	4.13E-01	1.00E+00
mmu-miR-3087-3p	3.713844194	-0.64262484	4.14E-01	1.00E+00
mmu-miR-1933-3p	0.527688203	1.62766264	4.14E-01	1.00E+00
mmu-miR-7063-5p	3.714405713	-0.64262484	4.15E-01	1.00E+00
mmu-let-7f-2-3p	-0.411164429	2.46612048	4.16E-01	1.00E+00
mmu-miR-532-5p	-0.248785097	8.5734984	4.18E-01	1.00E+00
mmu-miR-27a-3p	0.295815573	7.77480742	4.19E-01	1.00E+00
mmu-miR-106b-3p	-0.254289009	7.37132848	4.19E-01	1.00E+00
mmu-miR-7688-5p	0.346502416	2.91676815	4.23E-01	1.00E+00
mmu-miR-1191a	-0.803875889	0.40310787	4.27E-01	1.00E+00
mmu-miR-199b-3p	1.284448894	-0.09857743	4.29E-01	1.00E+00
mmu-miR-199a-3p	1.284448894	-0.09857743	4.29E-01	1.00E+00
mmu-miR-194-5p	-0.269133391	14.2839686	4.31E-01	1.00E+00
mmu-miR-6240	0.290786577	6.50431355	4.44E-01	1.00E+00
mmu-miR-361-3p	-0.257945876	5.7111185	4.45E-01	1.00E+00
mmu-miR-7226-3p	-0.362202942	2.18897627	4.45E-01	1.00E+00
mmu-miR-148b-5p	-0.234915294	5.41677578	4.46E-01	1.00E+00
mmu-miR-141-5p	-0.222537513	7.70484919	4.46E-01	1.00E+00
mmu-miR-219c-5p	3.153947112	-0.67057221	4.55E-01	1.00E+00
mmu-miR-7652-3p	3.153483389	-0.67057221	4.57E-01	1.00E+00
mmu-miR-7236-3p	3.244276376	-0.66486815	4.57E-01	1.00E+00
mmu-miR-346-5p	3.152747618	-0.67057221	4.59E-01	1.00E+00
mmu-miR-485-3p	3.243888163	-0.66486815	4.59E-01	1.00E+00
mmu-miR-369-5p	3.152055181	-0.67057221	4.61E-01	1.00E+00
mmu-miR-6899-3p	1.557405218	-0.31175449	4.63E-01	1.00E+00
mmu-miR-3079-5p	3.150543332	-0.67057221	4.65E-01	1.00E+00
mmu-miR-673-5p	3.150124409	-0.67057221	4.66E-01	1.00E+00
mmu-miR-188-3p	-3.245701591	-0.59393467	4.67E-01	1.00E+00
mmu-miR-28a-3p	-0.222863852	8.3244022	4.69E-01	1.00E+00
mmu-miR-3109-5p	-3.244856537	-0.59393467	4.70E-01	1.00E+00
mmu-miR-219a-1-3p	0.292822374	2.71977987	4.73E-01	1.00E+00
mmu-miR-702-3p	-0.472584899	2.03148556	4.74E-01	1.00E+00
mmu-miR-3060-3p	0.451420031	1.19439795	4.75E-01	1.00E+00
mmu-miR-194-2-3p	0.217099852	7.52696712	4.75E-01	1.00E+00
mmu-let-7f-1-3p	-0.280145687	3.90190249	4.77E-01	1.00E+00
mmu-miR-182-3p	0.375828082	1.74679827	4.77E-01	1.00E+00
mmu-miR-140-3p	0.210880783	9.82262299	4.78E-01	1.00E+00
mmu-miR-7091-5p	1.141457332	-0.41374624	4.80E-01	1.00E+00
mmu-miR-140-5p	-0.262224541	3.36682129	4.80E-01	1.00E+00
mmu-miR-22-3p	0.242726179	13.60214683	4.84E-01	1.00E+00
mmu-miR-200a-3p	0.226928929	11.02471188	4.86E-01	1.00E+00
mmu-miR-6992-5p	-3.003531582	-0.674682	4.86E-01	1.00E+00
mmu-miR-6960-5p	-3.003305353	-0.674682	4.89E-01	1.00E+00
mmu-miR-9769-3p	-0.999779316	0.40100142	4.90E-01	1.00E+00
mmu-miR-342-5p	0.300651328	3.85798479	4.90E-01	1.00E+00
mmu-miR-674-5p	-0.272453892	3.33757586	4.92E-01	1.00E+00
mmu-miR-24-3p	0.252231076	7.45577652	4.93E-01	1.00E+00
mmu-miR-24-2-5p	-0.30464334	3.53304004	4.95E-01	1.00E+00
mmu-miR-423-5p	0.251590483	8.09033341	4.97E-01	1.00E+00
mmu-miR-30c-1-3p	-0.235783625	5.41299282	4.98E-01	1.00E+00
mmu-miR-3061-3p	-0.47094981	1.63949435	5.01E-01	1.00E+00
mmu-miR-6955-5p	3.147089052	-0.75058652	5.03E-01	1.00E+00
mmu-miR-376b-5p	3.147737797	-0.75058652	5.04E-01	1.00E+00
mmu-miR-6985-3p	3.14953837	-0.75058652	5.07E-01	1.00E+00
mmu-miR-6911-5p	3.151226495	-0.75058652	5.10E-01	1.00E+00
mmu-miR-6962-3p	3.151787339	-0.75058652	5.11E-01	1.00E+00
mmu-miR-1983	-0.263927802	4.53647364	5.12E-01	1.00E+00
mmu-miR-873a-3p	3.154541065	-0.75058652	5.16E-01	1.00E+00
mmu-miR-652-5p	3.154727124	-0.75058652	5.17E-01	1.00E+00
mmu-miR-7219-3p	3.157282247	-0.75058652	5.22E-01	1.00E+00
mmu-miR-224-3p	3.158388447	-0.75058652	5.24E-01	1.00E+00
mmu-miR-5103	3.160154177	-0.75058652	5.27E-01	1.00E+00
mmu-miR-186-5p	-0.19064123	10.16619701	5.32E-01	1.00E+00
mmu-miR-744-5p	0.20593909	8.95849052	5.33E-01	1.00E+00
mmu-miR-191-3p	-0.220160742	4.70396402	5.42E-01	1.00E+00
mmu-miR-23b-5p	-0.833191716	0.42987373	5.54E-01	1.00E+00
mmu-miR-21a-5p	-0.191572626	14.23938868	5.61E-01	1.00E+00
mmu-miR-3473d	0.274488928	2.42347116	5.65E-01	1.00E+00
mmu-miR-3084-3p	2.863163774	-0.75999364	5.73E-01	1.00E+00
mmu-miR-671-5p	-0.25274659	2.64331917	5.80E-01	1.00E+00
mmu-miR-331-3p	-0.176578077	5.58484898	5.81E-01	1.00E+00
mmu-miR-26a-1-3p	0.357420751	3.0398529	5.89E-01	1.00E+00
mmu-miR-664-3p	0.279445348	2.0720389	5.94E-01	1.00E+00
mmu-miR-181a-2-3p	0.258150643	4.80821874	5.97E-01	1.00E+00
mmu-miR-6399	-1.060253825	-0.31850187	5.99E-01	1.00E+00
mmu-miR-5099	-0.18425011	5.08092762	6.01E-01	1.00E+00
mmu-miR-8114	0.371686128	1.5796898	6.02E-01	1.00E+00
mmu-miR-330-3p	0.223584034	2.71023467	6.16E-01	1.00E+00
mmu-miR-7a-1-3p	-0.183565847	4.66855247	6.18E-01	1.00E+00
mmu-miR-3068-3p	-0.207138232	3.15276774	6.19E-01	1.00E+00
mmu-miR-429-3p	0.147821035	11.85819793	6.21E-01	1.00E+00
mmu-miR-500-3p	0.224017431	3.3091456	6.27E-01	1.00E+00
mmu-miR-501-3p	0.209914034	4.28948099	6.29E-01	1.00E+00
mmu-miR-362-3p	-0.293938059	1.53886877	6.36E-01	1.00E+00
mmu-miR-3082-3p	0.237578154	3.65959075	6.42E-01	1.00E+00
mmu-miR-23a-3p	0.179074195	7.11860174	6.46E-01	1.00E+00
mmu-miR-323-3p	2.739017455	-0.765502	6.55E-01	1.00E+00
mmu-miR-99a-5p	0.246810736	4.2923767	6.56E-01	1.00E+00
mmu-miR-122-5p	2.738689928	-0.765502	6.56E-01	1.00E+00
mmu-miR-505-5p	2.738442101	-0.765502	6.57E-01	1.00E+00
mmu-miR-7677-3p	-1.265597669	-0.12510581	6.60E-01	1.00E+00
mmu-miR-187-5p	2.737499157	-0.765502	6.60E-01	1.00E+00
mmu-miR-26b-3p	-0.139663551	6.16773956	6.62E-01	1.00E+00
mmu-miR-5100	-0.168646352	3.44480176	6.62E-01	1.00E+00
mmu-miR-496a-3p	2.736875746	-0.765502	6.63E-01	1.00E+00
mmu-miR-1933-5p	2.736816441	-0.765502	6.63E-01	1.00E+00
mmu-miR-383-5p	2.73613864	-0.765502	6.66E-01	1.00E+00
mmu-miR-7662-5p	2.736006074	-0.765502	6.66E-01	1.00E+00
mmu-let-7i-3p	-0.197223413	2.85143865	6.66E-01	1.00E+00
mmu-miR-487b-3p	2.651424052	-0.76935553	6.67E-01	1.00E+00
mmu-miR-223-5p	2.735797683	-0.765502	6.67E-01	1.00E+00
mmu-miR-29b-2-5p	0.907277489	-0.27029882	6.68E-01	1.00E+00
mmu-miR-6546-3p	2.650191315	-0.76935553	6.69E-01	1.00E+00
mmu-miR-7048-3p	2.735225056	-0.765502	6.69E-01	1.00E+00
mmu-let-7b-3p	0.148996096	5.89434892	6.70E-01	1.00E+00
mmu-miR-5123	2.735169824	-0.765502	6.70E-01	1.00E+00
mmu-miR-3069-3p	2.648970524	-0.76935553	6.72E-01	1.00E+00
mmu-miR-193a-5p	2.734570521	-0.765502	6.72E-01	1.00E+00
mmu-miR-1934-3p	2.64865467	-0.76935553	6.73E-01	1.00E+00
mmu-miR-320-5p	-2.786496137	-0.76018347	6.73E-01	1.00E+00
mmu-miR-184-5p	2.648180668	-0.76935553	6.74E-01	1.00E+00
mmu-miR-467e-5p	2.648153001	-0.76935553	6.74E-01	1.00E+00
mmu-miR-6908-3p	2.648139246	-0.76935553	6.74E-01	1.00E+00
mmu-miR-208b-3p	-0.606202983	1.02775297	6.75E-01	1.00E+00
