ident	gene	coefD	pvalD	padjD	coefC	pvalC	padjC	mastfc	alpha	ref_alpha	mu	ref_mu	mean	ref_mean	log2fc
Immature Goblet	GCC2	1.157286005	5.17615E-11	6.60163E-09	0.160649545	0.100656852	1	0.233897203	0.362903226	0.105706268	1.52665618	1.706042401	0.064327976	-1.535760896	1.600088872
Immature Goblet	PLA2G2A	1.154535733	3.45098E-11	4.581E-09	0.493776156	0.007986807	0.330892902	0.182254804	0.387096774	0.114125351	2.35649262	1.761276149	0.987266427	-1.369976244	2.357242671
Immature Goblet	C1orf63	1.07818957	3.35113E-10	3.45991E-08	0.254827256	0.011991422	0.433323371	0.547406829	0.375	0.120673527	1.923272749	1.696507072	0.508246075	-1.354256427	1.862502503
Immature Goblet	AGR3	1.078056647	2.51614E-10	2.72771E-08	0.524978939	8.36941E-10	2.4195E-07	0.038919853	0.544354839	0.208606174	2.300921047	1.769068375	1.423544518	-0.492050443	1.915594962
Immature Goblet	PDIA4	1.04750421	1.50678E-10	1.73466E-08	0.326983737	9.97912E-05	0.009909803	0.264115056	0.508064516	0.192703461	2.028937499	1.917380446	1.052026957	-0.458137843	1.5101648
Immature Goblet	RNA28S5	1.026750752	4.13216E-10	4.12989E-08	0.280256181	0.026024105	0.674397585	0.401238418	0.443548387	0.159962582	2.382363493	2.33834544	1.209532823	-0.305822602	1.515355425
Immature Goblet	PEBP1	-1.059454468	4.31834E-10	4.25586E-08	-0.290977308	0.000761465	0.052411318	-0.280203987	0.5	0.576239476	1.635361425	2.369925939	0.635369355	1.574669847	-0.939300492
Immature Goblet	PYCARD	-1.066618464	4.50172E-10	4.37036E-08	-0.149899932	0.162522957	1	-0.149740298	0.306451613	0.356407858	1.425509929	2.077757368	-0.280738112	0.589368955	-0.870107067
Immature Goblet	LGALS9	-1.074575651	3.27941E-10	3.41294E-08	-0.144259955	0.060730405	0.970214504	-0.050851415	0.362903226	0.409728718	1.402069376	1.990967484	-0.060257474	0.703717334	-0.763974807
Immature Goblet	ID3	-1.078005428	1.53763E-11	2.15087E-09	-0.196828189	0.138827346	1	-0.377536702	0.366935484	0.467726848	1.90903524	2.788431192	0.462644887	1.692173397	-1.22952851
Immature Goblet	MPC2	-1.080242107	1.06717E-10	1.26207E-08	-0.200935797	0.015572651	0.511577307	-0.138683551	0.516129032	0.609915809	1.877002023	2.384211683	0.922812	1.670896718	-0.748084718
Immature Goblet	ECHS1	-1.081398885	2.82936E-10	3.01698E-08	-0.164332992	0.052906282	0.916455161	-0.110202436	0.407258065	0.458372311	1.457752505	2.014596577	0.16178073	0.889195583	-0.727414852
Immature Goblet	SDHB	-1.09238571	2.45915E-10	2.68833E-08	-0.054065901	0.549887537	1	-0.125489273	0.330645161	0.375116932	1.695578865	1.96013611	0.098949955	0.545558945	-0.44660899
Immature Goblet	DCTPP1	-1.10129333	1.634E-10	1.86463E-08	-0.111727656	0.203156139	1	-0.066533567	0.338709677	0.385406922	1.248353007	1.908434028	-0.313505635	0.532898882	-0.846404517
Immature Goblet	NDUFA8	-1.114153801	1.86409E-10	2.09051E-08	-0.115730514	0.183845952	1	-0.081517394	0.322580645	0.36202058	1.418725461	2.025521271	-0.213523404	0.559675552	-0.773198956
Immature Goblet	ISCU	-1.114302478	7.84829E-11	9.60797E-09	-0.140165011	0.167671266	1	-0.299627772	0.290322581	0.351730589	1.23855518	2.045843922	-0.545690609	0.538397632	-1.084088241
Immature Goblet	CD59	-1.121552909	7.03868E-11	8.72059E-09	-0.101752262	0.383836347	1	-0.173922692	0.318548387	0.372310571	1.29240281	2.067013253	-0.357991237	0.641601648	-0.999592885
Immature Goblet	SMAGP	-1.136289886	2.81002E-11	3.80737E-09	-0.308216271	9.20131E-05	0.009279058	-0.032977094	0.350806452	0.410664172	1.37764942	2.021861225	-0.13358585	0.737900922	-0.871486772
Immature Goblet	C10orf99	-1.16679457	1.66661E-12	2.77961E-10	-0.117853047	0.202676327	1	-0.112787354	0.439516129	0.540692236	2.074343388	2.375270018	0.888338862	1.488153596	-0.599814735
Immature Goblet	CLCA1	-1.184872014	3.20077E-12	4.89869E-10	0.19371052	0.075422898	1	-0.047145576	0.681451613	0.839101964	5.38488661	4.990981442	4.831570012	4.737899628	0.093670384
Immature Goblet	ARL2	-1.1850946	3.61289E-10	3.68604E-08	-0.072676174	0.5141751	1	-0.131195602	0.197580645	0.237605239	1.062031564	1.819775531	-1.277406985	-0.25356353	-1.023843455
Immature Goblet	TMEM59	-1.191873339	2.58705E-10	2.7814E-08	0.086793891	0.265168561	1	-0.238065538	0.600806452	0.694106642	2.684073371	2.870665092	1.949048128	2.343895815	-0.394847687
Immature Goblet	IFT172	-1.197319717	2.36892E-11	3.24393E-09	-0.291367436	0.000625537	0.044293673	-0.03279769	0.25	0.302151543	1.053375171	1.842627212	-0.94658922	0.115987292	-1.062576512
Immature Goblet	TPI1	-1.20251596	1.18812E-10	1.38002E-08	-0.321287735	0.000103984	0.010247892	-0.425031333	0.633064516	0.74181478	2.427684305	2.90545765	1.768111397	2.474589713	-0.706478315
Immature Goblet	FOS	-1.221381007	1.53364E-14	3.76436E-12	0.035963706	0.785942656	1	-0.76750294	0.47983871	0.632366698	2.603468497	2.971931225	1.544094344	2.310766349	-0.766672005
Immature Goblet	AP1M2	-1.221677054	1.91826E-10	2.13287E-08	-0.071692154	0.470610826	1	-0.028516812	0.225806452	0.243217961	0.937272002	1.683811954	-1.20952528	-0.355842512	-0.853682767
Immature Goblet	TRPT1	-1.224055829	4.95071E-11	6.37662E-09	-0.195238231	0.051650293	0.908043581	-0.052511816	0.173387097	0.247895229	0.841506265	1.801622393	-1.68635975	-0.210553756	-1.475805994
Immature Goblet	CKMT1B	-1.224676002	6.5985E-11	8.33397E-09	-0.01282354	0.88330543	1	-0.042002071	0.225806452	0.259120674	1.152846052	1.625906778	-0.993957351	-0.322374373	-0.671582978
Immature Goblet	FOSB	-1.23322165	1.08646E-14	2.71803E-12	-0.073179909	0.507912303	1	-0.437216912	0.318548387	0.459307764	1.645014502	2.234318076	-0.00538421	1.111857315	-1.117241525
Immature Goblet	FAM162A	-1.257276658	6.49115E-14	1.40739E-11	-0.305071275	0.000256742	0.021973395	-0.170785139	0.52016129	0.652946679	2.047934358	2.601945416	1.104970798	1.986984662	-0.882013863
Immature Goblet	HSPB1	-1.264162065	2.3391E-14	5.63506E-12	-0.320686167	0.018630255	0.571331479	-0.575088519	0.322580645	0.434985968	1.175257423	2.342448674	-0.456987885	1.141495751	-1.598483637
