source	target	interactiontype
ENSMUSG00000000567	ENSMUSG00000028211	TF-TG
ENSMUSG00000000567	ENSMUSG00000028246	TF-TG
ENSMUSG00000000567	ENSMUSG00000028289	TF-TG
ENSMUSG00000000567	ENSMUSG00000028312	TF-TG
ENSMUSG00000000567	ENSMUSG00000028341	TF-TG
ENSMUSG00000000567	ENSMUSG00000028435	TF-TG
ENSMUSG00000000567	ENSMUSG00000028438	TF-TG
ENSMUSG00000000567	ENSMUSG00000028439	TF-TG
ENSMUSG00000000567	ENSMUSG00000028444	TF-TG
ENSMUSG00000000567	ENSMUSG00000028517	TF-TG
ENSMUSG00000000567	ENSMUSG00000028542	TF-TG
ENSMUSG00000000567	ENSMUSG00000028557	TF-TG
ENSMUSG00000000567	ENSMUSG00000028576	TF-TG
ENSMUSG00000000567	ENSMUSG00000028602	TF-TG
ENSMUSG00000000567	ENSMUSG00000028634	TF-TG
ENSMUSG00000000567	ENSMUSG00000028641	TF-TG
ENSMUSG00000000567	ENSMUSG00000028702	TF-TG
ENSMUSG00000000567	ENSMUSG00000028713	TF-TG
ENSMUSG00000000567	ENSMUSG00000028716	TF-TG
ENSMUSG00000000567	ENSMUSG00000028747	TF-TG
ENSMUSG00000000567	ENSMUSG00000028749	TF-TG
ENSMUSG00000000567	ENSMUSG00000028763	TF-TG
ENSMUSG00000000567	ENSMUSG00000028849	TF-TG
ENSMUSG00000000567	ENSMUSG00000028940	TF-TG
ENSMUSG00000000567	ENSMUSG00000028943	TF-TG
ENSMUSG00000000567	ENSMUSG00000029059	TF-TG
ENSMUSG00000000567	ENSMUSG00000029094	TF-TG
ENSMUSG00000000567	ENSMUSG00000029095	TF-TG
ENSMUSG00000000567	ENSMUSG00000029153	TF-TG
ENSMUSG00000000567	ENSMUSG00000029154	TF-TG
ENSMUSG00000000567	ENSMUSG00000029161	TF-TG
ENSMUSG00000000567	ENSMUSG00000029168	TF-TG
ENSMUSG00000000567	ENSMUSG00000029177	TF-TG
ENSMUSG00000000567	ENSMUSG00000029330	TF-TG
ENSMUSG00000000567	ENSMUSG00000029484	TF-TG
ENSMUSG00000000567	ENSMUSG00000029521	TF-TG
ENSMUSG00000000567	ENSMUSG00000029560	TF-TG
ENSMUSG00000000567	ENSMUSG00000029601	TF-TG
ENSMUSG00000000567	ENSMUSG00000029644	TF-TG
ENSMUSG00000000567	ENSMUSG00000029674	TF-TG
ENSMUSG00000000567	ENSMUSG00000029712	TF-TG
ENSMUSG00000000567	ENSMUSG00000029769	TF-TG
ENSMUSG00000000567	ENSMUSG00000029772	TF-TG
ENSMUSG00000000567	ENSMUSG00000029814	TF-TG
ENSMUSG00000000567	ENSMUSG00000029847	TF-TG
ENSMUSG00000000567	ENSMUSG00000029910	TF-TG
ENSMUSG00000000567	ENSMUSG00000029919	TF-TG
ENSMUSG00000000567	ENSMUSG00000030074	TF-TG
ENSMUSG00000000567	ENSMUSG00000030087	TF-TG
ENSMUSG00000000567	ENSMUSG00000030107	TF-TG
ENSMUSG00000000567	ENSMUSG00000030110	TF-TG
ENSMUSG00000000567	ENSMUSG00000030137	TF-TG
ENSMUSG00000000567	ENSMUSG00000030329	TF-TG
ENSMUSG00000000567	ENSMUSG00000030410	TF-TG
ENSMUSG00000000567	ENSMUSG00000030510	TF-TG
ENSMUSG00000000567	ENSMUSG00000030518	TF-TG
ENSMUSG00000000567	ENSMUSG00000030643	TF-TG
ENSMUSG00000000567	ENSMUSG00000030659	TF-TG
ENSMUSG00000000567	ENSMUSG00000030747	TF-TG
ENSMUSG00000000567	ENSMUSG00000030769	TF-TG
ENSMUSG00000000567	ENSMUSG00000030772	TF-TG
ENSMUSG00000000567	ENSMUSG00000030878	TF-TG
ENSMUSG00000000567	ENSMUSG00000031004	TF-TG
ENSMUSG00000000567	ENSMUSG00000031098	TF-TG
ENSMUSG00000000567	ENSMUSG00000031144	TF-TG
ENSMUSG00000000567	ENSMUSG00000031155	TF-TG
ENSMUSG00000000567	ENSMUSG00000031214	TF-TG
ENSMUSG00000000567	ENSMUSG00000031220	TF-TG
ENSMUSG00000000567	ENSMUSG00000031328	TF-TG
ENSMUSG00000000567	ENSMUSG00000031353	TF-TG
ENSMUSG00000000567	ENSMUSG00000031373	TF-TG
ENSMUSG00000000567	ENSMUSG00000031381	TF-TG
ENSMUSG00000000567	ENSMUSG00000031387	TF-TG
ENSMUSG00000000567	ENSMUSG00000031441	TF-TG
ENSMUSG00000000567	ENSMUSG00000031453	TF-TG
ENSMUSG00000000567	ENSMUSG00000031538	TF-TG
ENSMUSG00000000567	ENSMUSG00000031562	TF-TG
ENSMUSG00000000567	ENSMUSG00000031586	TF-TG
ENSMUSG00000000567	ENSMUSG00000031617	TF-TG
ENSMUSG00000000567	ENSMUSG00000031626	TF-TG
ENSMUSG00000000567	ENSMUSG00000031629	TF-TG
ENSMUSG00000000567	ENSMUSG00000031647	TF-TG
ENSMUSG00000000567	ENSMUSG00000031661	TF-TG
ENSMUSG00000000567	ENSMUSG00000031668	TF-TG
ENSMUSG00000000567	ENSMUSG00000031788	TF-TG
ENSMUSG00000000567	ENSMUSG00000031790	TF-TG
ENSMUSG00000000567	ENSMUSG00000031827	TF-TG
ENSMUSG00000000567	ENSMUSG00000031845	TF-TG
ENSMUSG00000000567	ENSMUSG00000031903	TF-TG
ENSMUSG00000000567	ENSMUSG00000031925	TF-TG
ENSMUSG00000000567	ENSMUSG00000031951	TF-TG
ENSMUSG00000000567	ENSMUSG00000031980	TF-TG
